Nationality,Overall,Potential,Value,International Reputation,Age
Germany,72,75,4000000,1,23
Spain,72,72,1800000,1,32
Brazil,72,72,2700000,1,31
Portugal,72,72,2900000,1,30
Netherlands,72,72,3300000,1,27
France,72,72,2500000,1,28
Spain,72,72,2400000,1,29
France,72,77,3500000,1,25
Denmark,72,78,4300000,1,23
Germany,72,74,3100000,1,26
Uruguay,72,72,2000000,1,30
Brazil,72,74,3100000,1,26
Colombia,72,73,3600000,1,27
Argentina,72,72,2200000,1,30
Uruguay,72,72,725000,1,35
Mexico,72,72,2400000,1,32
Argentina,72,73,3700000,1,25
Portugal,72,72,1900000,2,33
France,72,85,5500000,1,18
Argentina,72,72,425000,1,38
France,72,77,4100000,1,24
Argentina,72,72,2400000,2,32
Sweden,72,74,2500000,2,29
Brazil,72,72,950000,1,34
Denmark,72,76,3400000,2,25
England,72,76,4100000,1,24
Mexico,72,72,2400000,1,29
Brazil,72,72,3300000,1,26
France,72,72,3100000,2,29
Uruguay,72,78,3600000,1,23
Argentina,72,72,2900000,1,30
Brazil,72,72,3300000,1,26
Portugal,72,73,3700000,1,26
Spain,72,72,425000,1,36
Colombia,72,74,2900000,1,28
Netherlands,72,79,4400000,1,22
Germany,72,72,2400000,2,29
Argentina,72,75,3900000,1,25
Spain,72,72,1300000,1,34
Italy,72,82,3800000,2,22
Sweden,72,77,3000000,1,25
Brazil,72,77,4200000,1,24
Italy,72,73,3000000,1,26
Brazil,72,72,1600000,1,34
Germany,72,72,2500000,2,28
Brazil,72,75,3900000,1,25
Brazil,72,72,3400000,1,26
Colombia,72,80,4600000,1,23
France,72,72,2700000,1,31
Germany,72,73,3600000,1,27
Brazil,72,72,2600000,1,27
Argentina,72,85,6000000,1,20
Italy,72,72,2600000,1,27
Mexico,72,75,4000000,1,25
Italy,72,72,3300000,1,27
Brazil,72,72,3400000,1,26
Portugal,72,76,3300000,1,26
Argentina,72,76,4000000,1,24
Spain,72,81,4100000,1,21
Spain,72,85,6000000,1,20
Sweden,72,75,3300000,1,25
France,72,82,3900000,1,21
Brazil,72,72,3400000,1,26
England,72,72,3200000,1,28
Mexico,72,77,4200000,1,23
Italy,72,72,3100000,1,28
Chile,72,72,3100000,1,29
Sweden,72,78,4300000,1,22
Uruguay,72,74,3700000,1,25
Brazil,72,72,3400000,1,26
Italy,72,72,2200000,1,28
England,72,75,2600000,1,27
Colombia,72,72,1300000,1,33
Brazil,72,78,4300000,1,23
Germany,72,74,3200000,1,25
Sweden,72,74,3800000,1,26
Argentina,72,78,3600000,1,22
Switzerland,72,75,3900000,1,24
Spain,72,72,3200000,1,28
France,72,76,3400000,1,23
Chile,72,79,3700000,1,23
Argentina,72,85,5500000,1,20
Argentina,72,73,3700000,1,25
Germany,72,76,4100000,1,24
Germany,72,78,4300000,1,24
Brazil,72,72,2300000,1,30
Argentina,72,72,3100000,1,28
Denmark,72,72,2500000,1,28
England,72,72,425000,2,37
Argentina,72,72,1300000,1,33
Denmark,72,74,3100000,2,26
Argentina,72,72,2000000,1,30
Colombia,72,79,4400000,1,23
Colombia,72,72,1300000,1,34
Netherlands,72,75,3300000,1,25
Argentina,72,73,2800000,1,28
Spain,72,72,950000,1,34
France,72,76,3400000,1,25
Italy,72,72,950000,1,34
France,72,78,3600000,1,23
Spain,72,78,4300000,1,24
Denmark,72,72,2700000,1,31
Switzerland,72,72,2500000,1,28
Denmark,72,72,2600000,1,27
Uruguay,72,75,3900000,1,25
Brazil,72,80,4600000,1,23
Argentina,72,72,3100000,1,29
Spain,72,72,1800000,1,32
Belgium,72,81,4800000,1,21
Portugal,72,72,2500000,1,28
Germany,72,79,3200000,1,23
Germany,72,72,3100000,1,28
Brazil,72,78,3600000,1,22
Spain,72,73,3600000,1,27
Colombia,72,75,3200000,1,26
France,72,88,6000000,1,18
Netherlands,72,72,2600000,1,27
Argentina,72,73,3600000,1,26
Colombia,72,83,5500000,1,21
Switzerland,72,75,3200000,1,26
Spain,72,74,2500000,1,27
Chile,72,73,3500000,1,27
Brazil,72,72,875000,1,34
Chile,72,78,4300000,1,23
England,72,75,3900000,1,26
Poland,72,72,1800000,1,32
Mexico,72,72,2200000,1,30
Spain,72,72,1500000,2,34
Sweden,72,72,3200000,1,27
England,72,72,2400000,1,32
Portugal,72,72,1800000,1,32
Mexico,72,76,4100000,1,23
Uruguay,72,75,3900000,1,26
Brazil,72,72,875000,1,34
Argentina,72,80,4000000,1,20
Germany,72,72,3200000,1,28
Mexico,72,77,4200000,1,24
Mexico,72,73,3000000,1,26
Brazil,72,72,2600000,1,26
Portugal,72,78,4300000,1,24
France,72,74,3800000,1,26
Argentina,72,72,3100000,1,28
Sweden,72,72,3300000,1,27
Argentina,72,78,3600000,1,24
Spain,72,72,1300000,1,34
Brazil,72,84,5500000,1,20
Belgium,72,72,2400000,1,29
Germany,72,77,3500000,1,22
Brazil,72,72,3000000,1,30
France,72,73,2800000,1,28
Germany,72,77,4200000,1,23
Germany,72,72,2500000,1,28
England,72,72,2400000,1,29
France,72,78,4300000,1,24
Portugal,72,74,3000000,1,27
Colombia,72,72,1700000,1,32
Mexico,72,76,2900000,1,24
Spain,72,82,3900000,1,21
Argentina,72,72,2100000,1,31
Croatia,72,77,3500000,1,24
England,72,81,4000000,1,19
Spain,72,82,5000000,1,20
Germany,72,72,2500000,1,28
Germany,72,72,950000,1,34
Netherlands,72,72,3300000,1,27
Italy,72,74,3900000,1,25
Italy,72,74,3700000,1,26
Brazil,72,73,3000000,1,26
England,72,74,3000000,1,27
Netherlands,72,76,4000000,1,25
Brazil,72,76,3400000,1,24
Argentina,72,79,3700000,1,22
Spain,72,77,3400000,1,26
Portugal,72,81,4800000,1,21
Portugal,72,72,3200000,2,28
England,72,72,2500000,1,28
Germany,72,76,2900000,1,25
Poland,72,72,2000000,1,30
Brazil,72,77,4100000,1,24
Germany,72,72,2600000,1,27
Spain,72,73,2800000,1,28
Spain,72,72,1700000,1,32
Italy,72,77,3500000,1,22
Brazil,72,74,3800000,1,26
Croatia,72,72,2600000,1,27
Spain,72,78,3600000,1,23
Argentina,72,72,2500000,1,28
Sweden,72,72,210000,1,37
Argentina,72,72,1600000,1,34
Portugal,72,78,4300000,1,22
France,72,76,3400000,2,25
Belgium,72,84,5500000,1,19
Croatia,72,72,2500000,2,32
England,72,72,2500000,1,28
Brazil,72,73,3600000,1,26
Spain,72,72,2400000,1,29
Italy,72,78,4200000,1,21
Belgium,72,75,2800000,1,25
Denmark,72,77,4200000,1,24
Italy,72,73,2800000,1,28
Portugal,72,72,2300000,1,30
Argentina,72,72,1300000,2,34
Italy,72,72,875000,2,34
Netherlands,72,72,2400000,1,29
Colombia,72,72,1200000,1,33
Mexico,72,79,4200000,1,19
Uruguay,72,83,5500000,1,20
Italy,72,72,1800000,1,32
Brazil,72,73,3700000,1,26
Colombia,72,72,1300000,1,33
Germany,72,80,4000000,1,21
Spain,72,72,2500000,1,28
Croatia,72,74,3800000,2,25
Brazil,72,72,2300000,1,30
Spain,72,73,3600000,1,27
England,72,72,210000,2,38
Portugal,72,72,2100000,1,31
England,72,77,3500000,1,24
Mexico,72,73,3600000,1,26
Croatia,72,73,3700000,1,26
England,72,74,3700000,1,26
Spain,72,72,1800000,1,32
England,72,75,3300000,1,24
Uruguay,72,72,2800000,1,31
Italy,72,72,2400000,1,29
Germany,72,72,2200000,1,30
France,72,80,4600000,1,20
France,72,72,1300000,1,33
Spain,72,72,2700000,1,31
England,72,72,1900000,2,33
Netherlands,72,72,2400000,1,32
Argentina,72,72,3000000,1,30
Brazil,72,72,2200000,1,30
Spain,72,72,1300000,1,33
Italy,72,72,2800000,1,31
Spain,71,78,2500000,1,21
Brazil,71,71,1800000,1,30
Spain,71,73,2000000,1,25
Switzerland,71,79,3500000,1,22
Argentina,71,81,3200000,1,19
England,71,71,2400000,1,27
England,71,83,3300000,1,22
France,71,76,3200000,1,23
France,71,71,1500000,2,30
Italy,71,71,1900000,1,28
Brazil,71,80,3600000,1,22
Germany,71,78,3300000,1,23
Spain,71,73,2300000,1,27
Portugal,71,75,2600000,1,24
Argentina,71,77,2800000,1,24
Brazil,71,71,1800000,1,30
Croatia,71,76,3100000,1,24
Argentina,71,74,2400000,1,25
England,71,82,4100000,1,21
Spain,71,77,2700000,1,22
Croatia,71,73,2300000,1,27
England,71,71,1700000,1,30
Belgium,71,71,325000,1,37
Argentina,71,80,3200000,1,23
Germany,71,74,2500000,1,25
Argentina,71,71,1800000,1,29
France,71,71,800000,1,36
Italy,71,71,2400000,1,28
Poland,71,71,2400000,1,28
Argentina,71,72,2800000,1,27
Brazil,71,71,1600000,1,31
Germany,71,78,3300000,1,24
Argentina,71,71,850000,2,36
Spain,71,71,750000,1,37
Brazil,71,80,3200000,1,21
Italy,71,71,1400000,1,33
Spain,71,79,3500000,1,23
England,71,72,2800000,1,26
England,71,74,2500000,1,25
Spain,71,71,2500000,1,27
Switzerland,71,71,1800000,1,29
Italy,71,71,2200000,1,30
France,71,72,2300000,1,26
Uruguay,71,71,850000,1,37
England,71,72,2800000,1,26
England,71,74,3000000,1,24
France,71,71,1800000,1,29
Germany,71,71,950000,1,33
Italy,71,83,3700000,1,20
Spain,71,71,2100000,1,31
England,71,71,2300000,1,30
Italy,71,79,3000000,1,22
Brazil,71,71,1800000,1,30
Chile,71,71,1900000,1,28
Colombia,71,78,2800000,1,24
Croatia,71,73,2300000,1,27
Germany,71,71,750000,1,36
Italy,71,72,2800000,2,26
England,71,71,1800000,1,32
Germany,71,71,1800000,1,30
Brazil,71,80,3200000,1,22
Spain,71,77,3200000,1,23
Germany,71,72,2800000,1,25
Germany,71,72,2800000,1,26
England,71,71,270000,3,37
France,71,71,2400000,1,28
England,71,71,1500000,1,33
Argentina,71,71,160000,1,39
Germany,71,74,3000000,1,25
Chile,71,76,3200000,1,25
France,71,71,1600000,1,31
Spain,71,79,3000000,1,23
France,71,81,3900000,1,20
Portugal,71,71,1500000,1,33
Argentina,71,71,1200000,1,34
Netherlands,71,77,2700000,1,22
Mexico,71,71,1800000,1,30
England,71,71,1400000,2,33
Belgium,71,78,3300000,1,22
Brazil,71,80,2800000,1,23
Brazil,71,71,675000,1,34
Croatia,71,83,4200000,1,20
Argentina,71,72,2800000,1,26
Italy,71,71,1700000,1,30
Spain,71,71,675000,1,34
Colombia,71,84,4100000,1,20
Brazil,71,71,675000,1,34
Argentina,71,72,2700000,1,26
Germany,71,71,2400000,1,28
Colombia,71,72,2800000,1,26
Brazil,71,71,725000,1,34
Brazil,71,71,2300000,1,30
Italy,71,71,160000,1,37
Spain,71,75,2600000,1,24
Brazil,71,71,2000000,1,26
Croatia,71,72,2700000,1,27
Croatia,71,78,3300000,1,22
Argentina,71,71,1800000,1,29
England,71,79,3600000,1,21
Argentina,71,71,325000,2,36
Poland,71,71,950000,1,34
Chile,71,81,2900000,1,23
Sweden,71,71,1600000,2,31
Uruguay,71,71,950000,1,33
Spain,71,77,3200000,1,24
Colombia,71,79,3000000,1,21
France,71,71,2500000,1,27
Portugal,71,76,3200000,1,23
Argentina,71,83,4300000,1,20
Germany,71,71,2000000,1,31
Italy,71,72,2300000,1,25
Colombia,71,74,2500000,1,25
Brazil,71,71,2300000,1,29
Belgium,71,71,2500000,1,27
Italy,71,71,1900000,1,28
Brazil,71,71,1800000,1,29
Sweden,71,71,1900000,1,28
Germany,71,77,2700000,1,23
France,71,71,1600000,1,31
Spain,71,71,1800000,2,30
Colombia,71,71,1200000,1,34
Spain,71,79,3000000,1,21
Portugal,71,78,3400000,1,23
Portugal,71,79,2600000,1,23
Italy,71,71,2400000,1,29
Italy,71,73,2400000,1,26
Colombia,71,71,550000,1,35
Spain,71,71,1700000,1,30
Spain,71,78,2800000,1,24
Italy,71,79,2600000,1,23
Netherlands,71,78,3400000,1,21
Brazil,71,71,2200000,1,30
Spain,71,71,950000,1,33
Italy,71,71,950000,2,33
Belgium,71,71,1800000,1,29
Germany,71,76,2600000,1,24
Portugal,71,74,2400000,1,25
Switzerland,71,79,2600000,1,24
Germany,71,71,1700000,2,28
Spain,71,72,2700000,1,27
Mexico,71,77,3200000,1,22
Belgium,71,75,2600000,1,25
Colombia,71,71,1600000,1,31
Poland,71,71,1800000,1,32
Portugal,71,75,2500000,1,25
Brazil,71,71,550000,1,35
France,71,71,1500000,1,33
Sweden,71,72,2800000,1,27
Portugal,71,71,1000000,1,35
Argentina,71,71,160000,1,40
England,71,74,2500000,1,26
Argentina,71,71,1400000,1,33
Argentina,71,72,2200000,1,27
Mexico,71,71,1600000,1,31
Argentina,71,75,2600000,1,24
Portugal,71,80,3700000,1,21
Spain,71,72,2200000,1,27
Brazil,71,74,2900000,1,25
Argentina,71,71,2400000,1,28
France,71,81,3300000,1,20
England,71,71,2100000,2,31
Argentina,71,73,2300000,1,27
Italy,71,77,3200000,1,23
Spain,71,71,1600000,1,31
Colombia,71,71,1400000,1,32
Brazil,71,71,1600000,1,31
Netherlands,71,74,2400000,1,25
Sweden,71,75,2600000,1,25
Portugal,71,79,3000000,1,21
Belgium,71,78,3300000,1,22
Colombia,71,79,3000000,1,22
Mexico,71,80,3600000,1,22
France,71,79,3000000,1,23
Germany,71,76,3200000,1,22
Mexico,71,75,2600000,1,24
Netherlands,71,71,1800000,1,32
Germany,71,71,2000000,1,31
France,71,71,0,2,41
Brazil,71,82,4000000,1,19
Brazil,71,71,2400000,1,29
Argentina,71,75,2600000,1,24
Colombia,71,81,3900000,1,21
Portugal,71,79,3000000,1,23
Uruguay,71,73,2900000,1,25
Italy,71,71,1700000,1,28
Chile,71,71,950000,1,33
Brazil,71,71,1200000,1,34
Chile,71,71,2000000,1,27
Colombia,71,71,2100000,1,31
Germany,71,71,1800000,1,29
Belgium,71,71,2400000,1,28
Brazil,71,71,1800000,1,30
Spain,71,71,1800000,1,29
England,71,78,3400000,1,23
Germany,71,79,3000000,1,23
Sweden,71,71,1400000,1,32
Spain,71,71,2100000,1,31
France,71,85,5000000,1,19
Colombia,71,73,2800000,1,25
Belgium,71,82,4000000,1,20
France,71,71,2300000,1,29
Brazil,71,86,4700000,1,17
Spain,71,71,2500000,1,27
Portugal,71,71,1200000,1,33
Portugal,71,81,3800000,1,21
Brazil,71,71,2400000,1,28
Spain,71,76,3200000,1,25
Mexico,71,82,4100000,1,21
Portugal,71,71,1900000,1,28
England,71,73,2400000,1,26
Colombia,71,71,2000000,1,27
Argentina,71,71,1900000,1,28
Sweden,71,77,3300000,1,24
Mexico,71,71,1500000,1,30
England,71,71,1700000,1,30
Germany,71,71,2300000,1,29
Colombia,71,71,2000000,1,31
Spain,71,71,1800000,1,29
Sweden,71,74,2500000,1,26
Mexico,71,72,2800000,1,26
Mexico,71,72,1800000,1,27
Portugal,71,75,3100000,1,24
France,71,71,1600000,1,31
Belgium,71,74,3000000,1,24
France,71,71,2100000,1,31
England,71,75,3100000,1,25
Spain,71,71,1400000,1,33
England,71,81,3800000,1,21
Spain,71,71,1900000,1,28
France,71,83,3400000,1,18
Mexico,71,81,3700000,1,19
Uruguay,71,78,0,1,22
France,71,71,1800000,1,29
England,71,75,2600000,1,24
Italy,71,79,3400000,1,23
Brazil,71,71,1900000,1,28
Colombia,71,71,2300000,1,29
Argentina,71,71,160000,1,38
Brazil,71,71,1900000,1,32
Brazil,71,71,1900000,1,28
Spain,71,72,2100000,1,29
Spain,71,71,1600000,1,31
Poland,71,72,2200000,1,27
England,71,72,2700000,1,26
Colombia,71,72,2200000,1,28
Uruguay,71,71,1800000,1,32
Belgium,71,71,800000,2,37
Spain,71,71,1900000,1,32
Brazil,71,71,2500000,1,26
Portugal,71,74,2400000,1,27
Sweden,71,72,2700000,1,27
Poland,71,71,1800000,1,29
Colombia,71,71,2200000,1,30
Germany,71,72,1800000,1,27
England,71,71,2200000,1,30
France,71,71,2500000,1,27
Brazil,71,71,1200000,1,34
Brazil,71,71,2200000,1,30
Mexico,71,71,2100000,1,31
Italy,71,72,2200000,1,27
Portugal,71,74,2500000,1,25
Chile,71,72,2700000,1,27
France,71,71,1800000,1,32
Brazil,71,72,2900000,2,25
Spain,71,79,3500000,1,21
Italy,71,76,3100000,1,25
Portugal,71,71,325000,2,36
Argentina,71,73,2300000,1,27
England,71,83,4200000,1,21
Spain,71,82,3400000,1,19
Argentina,71,71,270000,1,36
Germany,71,71,1800000,1,30
Chile,71,71,2000000,1,27
Poland,71,71,725000,1,34
Colombia,71,71,1800000,1,29
Denmark,71,71,2000000,1,27
Brazil,71,71,2500000,1,26
Brazil,71,71,1800000,1,30
Sweden,71,71,1400000,1,31
Brazil,71,71,1200000,1,34
Germany,71,71,1700000,1,28
Portugal,71,77,2800000,1,22
Chile,71,76,3200000,1,23
Brazil,71,77,2400000,1,24
Argentina,71,71,2200000,1,30
Argentina,71,71,725000,1,34
Netherlands,71,83,3600000,1,19
Brazil,71,76,2700000,1,22
Portugal,71,71,2100000,1,31
Chile,71,74,2500000,1,24
England,71,75,2600000,1,24
England,71,71,1500000,1,33
Spain,71,71,1700000,1,30
Spain,71,71,1800000,1,30
Poland,71,71,1900000,1,28
Germany,71,71,725000,1,34
Brazil,71,71,2500000,1,26
England,71,73,2400000,1,26
France,71,79,3500000,1,22
Mexico,71,71,1900000,1,28
England,71,74,3000000,1,24
Portugal,71,75,3000000,1,25
Spain,71,71,2500000,1,27
France,71,72,2200000,1,27
Brazil,71,71,1200000,1,34
England,71,71,2500000,1,27
England,71,72,2800000,1,26
Spain,71,71,2000000,1,27
Belgium,71,77,3200000,1,22
France,71,71,1900000,1,32
Germany,71,71,2200000,2,30
Germany,71,79,3500000,1,22
Germany,71,71,2300000,1,30
Sweden,71,71,1700000,2,30
Sweden,71,74,3000000,1,25
Colombia,71,79,3600000,1,21
Poland,71,80,3200000,1,22
Denmark,71,71,2100000,1,31
Mexico,71,71,1600000,1,29
Spain,71,71,2600000,1,26
England,71,71,1800000,1,30
Spain,71,71,2200000,1,30
Italy,71,71,270000,2,37
Italy,71,75,3100000,1,24
Brazil,71,71,1200000,1,34
Portugal,71,71,2100000,1,31
Italy,71,71,325000,2,38
France,71,71,750000,2,38
Spain,71,71,1700000,1,30
Croatia,71,76,3200000,1,23
Portugal,71,71,675000,1,34
Spain,71,77,2800000,1,23
Brazil,71,71,1900000,1,32
England,71,75,2600000,1,23
England,71,72,2200000,1,27
Croatia,71,71,1800000,1,29
Switzerland,71,71,1800000,1,29
Spain,71,71,2400000,1,28
Belgium,71,71,1600000,1,31
Sweden,71,74,2900000,1,26
Colombia,71,75,2600000,1,24
England,71,78,2800000,1,23
Netherlands,71,74,2500000,1,23
Germany,71,71,1900000,2,28
Italy,71,71,675000,2,34
France,71,76,2600000,1,25
Spain,71,71,2100000,1,31
France,71,72,2200000,1,27
Poland,71,72,2800000,1,26
Spain,71,71,1500000,1,30
France,71,71,2400000,1,28
Argentina,71,80,3200000,1,21
Portugal,71,79,3000000,1,21
Switzerland,71,72,2800000,1,26
Brazil,71,71,950000,1,34
France,71,72,2300000,1,26
Netherlands,71,71,2500000,1,27
Belgium,71,71,1400000,1,32
Italy,71,78,2800000,1,23
Germany,71,73,2900000,1,26
Poland,71,71,2100000,1,31
Chile,71,71,750000,1,36
France,71,74,2100000,1,26
Italy,71,73,2000000,1,26
Germany,71,74,3000000,1,23
England,71,71,2100000,1,31
Brazil,71,75,2500000,1,26
Mexico,71,71,1800000,1,29
France,71,71,2400000,1,28
Colombia,71,75,3100000,1,25
Belgium,71,78,3400000,1,20
Portugal,71,80,2800000,1,22
Argentina,71,71,1300000,1,32
Italy,71,71,2300000,1,30
Brazil,71,72,2200000,1,27
France,71,77,2400000,1,21
Netherlands,71,71,2100000,1,31
Brazil,71,71,950000,1,34
France,71,74,2400000,1,25
Spain,71,71,1300000,1,32
Brazil,71,71,1700000,1,30
Argentina,71,78,2800000,1,22
Brazil,71,71,2100000,1,31
Spain,71,83,4100000,1,19
Germany,71,71,1800000,2,29
Germany,71,71,1400000,1,32
England,71,71,1900000,1,28
Italy,71,71,550000,2,35
Italy,71,73,2900000,1,25
Colombia,71,71,1800000,1,30
Spain,71,74,3000000,1,25
Italy,71,81,3800000,1,20
Spain,71,71,550000,1,35
Belgium,71,78,3300000,1,21
Brazil,71,71,1700000,1,30
England,71,76,3200000,1,24
Mexico,71,76,2600000,1,25
Argentina,71,78,2800000,1,23
Italy,71,79,3000000,1,22
France,71,81,3800000,1,22
Belgium,71,76,2700000,1,23
France,71,74,2400000,1,27
Spain,71,71,1200000,1,33
Sweden,71,71,2400000,1,29
Sweden,71,72,2800000,1,26
Argentina,71,71,550000,1,35
Argentina,71,73,2200000,1,28
Argentina,71,71,1800000,1,29
Portugal,71,77,3200000,1,22
France,71,77,2400000,1,22
Argentina,71,76,2600000,1,25
Portugal,71,83,3800000,1,21
Argentina,71,74,3000000,1,24
Brazil,71,71,1600000,1,31
England,71,76,2300000,1,24
Poland,71,82,3200000,1,20
Italy,71,80,3200000,1,22
England,71,71,1800000,1,30
Belgium,71,71,1400000,1,31
Brazil,71,77,3200000,1,23
Germany,71,71,1900000,1,32
Argentina,71,79,2600000,1,23
France,71,84,4000000,1,19
Germany,71,71,2100000,1,31
Sweden,71,77,3200000,1,23
Netherlands,71,80,3700000,1,21
Wales,71,71,2300000,1,29
Brazil,71,73,2400000,1,26
Brazil,71,71,1600000,1,31
Chile,71,81,3300000,1,22
Portugal,71,71,2200000,1,30
Brazil,71,71,675000,1,34
Colombia,71,71,2100000,1,31
Switzerland,71,76,2600000,1,26
Argentina,71,76,3200000,1,22
Italy,71,74,2500000,1,26
Brazil,71,71,2300000,2,30
Netherlands,71,73,2800000,1,26
Argentina,71,71,1800000,1,30
Brazil,71,71,2500000,1,26
Sweden,71,72,2200000,1,27
Italy,71,76,3100000,1,24
Italy,71,77,2400000,1,24
Uruguay,71,71,1800000,1,29
France,71,71,1000000,2,35
Brazil,71,80,3200000,1,21
Spain,71,71,550000,1,35
Brazil,71,71,1400000,1,32
Brazil,71,72,2300000,1,26
Colombia,71,71,1600000,2,31
Belgium,71,74,2900000,1,25
Italy,71,76,3200000,1,24
Colombia,71,83,3800000,1,21
Brazil,71,71,675000,1,34
Brazil,71,71,675000,1,34
Spain,71,71,2100000,1,31
Spain,71,71,1400000,1,32
Argentina,71,75,2600000,1,25
Spain,71,78,2800000,1,23
France,71,71,2200000,2,30
Argentina,71,71,160000,1,39
Mexico,71,71,2400000,1,28
Portugal,71,71,1900000,1,28
France,71,72,2800000,1,26
Belgium,71,71,2500000,1,27
Spain,71,71,1800000,1,29
Portugal,71,82,3200000,1,22
Portugal,71,72,2800000,1,25
Argentina,71,79,3000000,1,23
Portugal,71,71,1600000,1,31
Netherlands,71,71,2400000,1,28
Netherlands,71,74,2500000,1,26
Germany,71,71,950000,2,33
Mexico,71,71,2400000,1,28
England,71,71,1900000,1,32
England,71,75,2600000,1,25
Argentina,71,72,2800000,1,26
Croatia,71,83,3800000,1,21
Sweden,71,74,2900000,1,25
Mexico,71,71,1900000,1,28
Portugal,71,76,3200000,1,24
Germany,71,71,900000,2,33
Spain,71,74,2400000,1,25
Brazil,71,76,2700000,1,24
Brazil,71,71,725000,1,34
Argentina,71,71,1200000,1,33
Brazil,71,71,2000000,2,27
Spain,71,71,1800000,1,29
Denmark,71,71,1800000,1,29
Argentina,71,71,1300000,1,32
Belgium,71,71,2000000,1,27
Brazil,71,72,2200000,1,27
Mexico,71,74,3000000,1,24
England,71,79,3400000,1,22
Brazil,71,71,725000,1,34
Uruguay,71,71,0,1,35
Italy,71,72,1900000,1,28
Argentina,71,72,2200000,1,27
Argentina,71,71,2300000,1,29
Brazil,71,71,2300000,1,29
Spain,71,71,2400000,1,28
Uruguay,71,71,2500000,1,27
Sweden,71,73,2900000,1,24
Colombia,71,71,2500000,1,26
England,71,84,4500000,1,20
Brazil,71,71,950000,1,34
Portugal,71,71,1400000,1,31
Italy,71,71,1600000,1,27
Spain,71,71,1900000,1,28
Brazil,71,71,2300000,1,29
Wales,71,71,1800000,1,30
Denmark,71,72,2700000,1,27
Germany,71,71,1500000,1,30
England,71,71,725000,2,34
Spain,71,71,2400000,1,29
Mexico,71,79,3000000,1,22
Brazil,71,71,1500000,1,30
Netherlands,71,71,2200000,1,30
Spain,71,74,3000000,1,25
Spain,71,71,1300000,1,32
Spain,71,74,2500000,1,26
Mexico,71,71,160000,2,45
Brazil,71,71,2300000,1,29
Italy,71,71,2400000,1,27
Portugal,71,73,2400000,1,25
Spain,71,71,1400000,1,33
Italy,70,70,1600000,1,30
Belgium,70,76,2100000,1,23
Germany,70,70,1600000,1,30
Colombia,70,70,1500000,1,27
Brazil,70,70,1500000,1,26
England,70,77,2500000,1,23
Italy,70,70,1400000,1,28
England,70,84,3900000,1,20
Mexico,70,72,1800000,1,26
Wales,70,78,2200000,1,23
Denmark,70,70,900000,1,33
Portugal,70,76,2400000,1,24
Colombia,70,70,1400000,1,29
Mexico,70,70,550000,1,34
Brazil,70,70,1300000,1,30
Spain,70,76,2400000,1,21
Portugal,70,71,2100000,1,25
Germany,70,84,3900000,1,20
Croatia,70,74,1900000,1,26
Chile,70,70,775000,1,35
Denmark,70,70,425000,1,35
Italy,70,74,1900000,1,24
Germany,70,70,1000000,1,32
Argentina,70,72,2200000,1,26
France,70,70,1400000,1,29
Brazil,70,70,1500000,1,27
France,70,71,1400000,1,29
Italy,70,73,1800000,1,25
Colombia,70,77,2100000,1,24
Portugal,70,75,2000000,1,23
Croatia,70,73,1800000,1,25
Portugal,70,74,1900000,1,22
Sweden,70,70,1700000,1,29
Spain,70,73,1800000,1,26
Argentina,70,79,2700000,1,23
Spain,70,70,1800000,1,28
Switzerland,70,74,1900000,1,22
Spain,70,76,2500000,1,23
Portugal,70,70,750000,1,35
Argentina,70,73,1800000,1,27
Spain,70,70,1300000,1,32
Germany,70,70,1300000,1,30
Brazil,70,71,2100000,1,26
Brazil,70,77,2100000,1,24
France,70,72,1500000,1,26
France,70,79,2700000,1,21
Brazil,70,70,1300000,1,30
Brazil,70,70,1100000,1,30
France,70,70,1700000,1,29
Chile,70,80,2900000,1,20
Netherlands,70,70,1700000,1,30
France,70,72,1800000,1,26
Argentina,70,70,1400000,1,29
Spain,70,71,1700000,1,26
Denmark,70,70,425000,1,35
Italy,70,70,1400000,1,28
Mexico,70,70,1800000,1,28
Germany,70,77,2500000,1,22
Germany,70,70,900000,1,33
Chile,70,70,1600000,1,30
France,70,72,2200000,1,25
Spain,70,75,2000000,1,24
Chile,70,70,1900000,1,26
Poland,70,70,550000,1,34
England,70,85,3700000,1,18
Argentina,70,70,1400000,1,29
Germany,70,76,2400000,1,24
England,70,79,2400000,1,22
Brazil,70,74,1900000,1,26
Brazil,70,70,725000,1,34
Spain,70,70,1800000,1,28
Argentina,70,70,825000,1,35
Brazil,70,70,1500000,1,31
France,70,70,1300000,1,32
Germany,70,70,725000,1,33
Belgium,70,78,2600000,1,21
Brazil,70,72,2200000,1,24
Spain,70,70,1900000,1,27
Argentina,70,77,2100000,1,22
Argentina,70,70,1600000,1,31
Italy,70,71,2000000,1,27
Germany,70,78,2300000,1,22
Spain,70,70,725000,1,33
Switzerland,70,70,1000000,2,32
Argentina,70,70,1400000,1,32
Argentina,70,70,1400000,1,28
France,70,80,2800000,1,20
Germany,70,70,1200000,1,31
Netherlands,70,73,2300000,2,25
Croatia,70,70,1800000,1,28
Switzerland,70,72,2200000,1,25
Italy,70,70,1200000,1,31
Spain,70,71,1600000,1,29
Netherlands,70,72,1800000,1,26
Brazil,70,70,1700000,1,30
France,70,70,1600000,2,30
Netherlands,70,71,2100000,1,27
Brazil,70,72,2200000,1,25
England,70,79,2300000,1,22
Brazil,70,72,1700000,1,27
Argentina,70,75,2300000,1,25
Denmark,70,75,1700000,1,24
